id,title,author,year,form,era,current_cover_kind,current_cover_reference,current_cover_asset,current_dimensions,cover_color,cover_accent,audit_status,artwork_filename,final_cover_filename,rights_status,rights_basis,provenance_provider,prompt_template_version,review_status
"second-treatise","Second Treatise of Government","John Locke","1689","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a3a2a","#a0c0a0","replace-after-review","second-treatise--artwork-v1.png","second-treatise--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"hume-enquiry","An Enquiry Concerning Human Understanding","David Hume","1748","philosophy","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2030","#a0b0c8","replace-after-review","hume-enquiry--artwork-v1.png","hume-enquiry--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"social-contract","The Social Contract","Jean-Jacques Rousseau","1762","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a3a","#c0a060","replace-after-review","social-contract--artwork-v1.png","social-contract--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"wealth-of-nations","The Wealth of Nations","Adam Smith","1776","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f2820","#c8b070","replace-after-review","wealth-of-nations--artwork-v1.png","wealth-of-nations--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"werther","The Sorrows of Young Werther","Johann Wolfgang von Goethe","1774","novel","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#251c24","#c78a6a","replace-after-review","werther--artwork-v1.png","werther--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"faust-part-1","Faust, Part One","Johann Wolfgang von Goethe","1808","drama","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a0e1a","#c93a3a","replace-after-review","faust-part-1--artwork-v1.png","faust-part-1--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"oresteia","The Oresteia","Aeschylus","-458","drama","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a0a1a","#a04040","replace-after-review","oresteia--artwork-v1.png","oresteia--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"bacchae","The Bacchae","Euripides","-405","drama","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a0e2a","#9a4ac0","replace-after-review","bacchae--artwork-v1.png","bacchae--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"medea","Medea","Euripides","-431","drama","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a0a","#c96a4a","replace-after-review","medea--artwork-v1.png","medea--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"confessions","Confessions","Augustine","397","philosophy","antiquity","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2a1a","#c8a060","replace-after-review","confessions--artwork-v1.png","confessions--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"notes-from-underground","Notes from Underground","Fyodor Dostoevsky","1864","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a1a","#9c3a3a","replace-after-review","notes-from-underground--artwork-v1.png","notes-from-underground--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"magna-carta","Magna Carta","Anonymous (sealed by King John)","1215","history","medieval","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2d1f","#a87838","replace-after-review","magna-carta--artwork-v1.png","magna-carta--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"us-founding-documents","The US Founding Documents","Various (Jefferson, Madison, et al.)","1776","history","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f2a3a","#c0432a","replace-after-review","us-founding-documents--artwork-v1.png","us-founding-documents--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"federalist-papers","The Federalist Papers","Hamilton, Madison, Jay (as ""Publius"")","1788","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1f3a","#d4a843","replace-after-review","federalist-papers--artwork-v1.png","federalist-papers--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"frederick-douglass","Narrative of the Life of Frederick Douglass","Frederick Douglass","1845","memoir","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#201a18","#c0905a","replace-after-review","frederick-douglass--artwork-v1.png","frederick-douglass--cover-v1.png","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","pilot-reviewed"
"a-little-princess","A Little Princess","Frances Hodgson Burnett","1905","children","contemporary","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3d2a3a","#d4a872","replace-after-review","a-little-princess--artwork-v1.png","a-little-princess--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"jungle-book","The Jungle Book","Rudyard Kipling","1894","children","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a0e","#6b8f3a","replace-after-review","jungle-book--artwork-v1.png","jungle-book--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"around-the-world-80-days","Around the World in Eighty Days","Jules Verne","1872","children","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#0e1a2a","#3a6b8f","replace-after-review","around-the-world-80-days--artwork-v1.png","around-the-world-80-days--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"heart-of-darkness","Heart of Darkness","Joseph Conrad","1899","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1410","#8a6035","replace-after-review","heart-of-darkness--artwork-v1.png","heart-of-darkness--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"discourse-on-inequality","Discourse on the Origin of Inequality","Jean-Jacques Rousseau","1755","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f2a3a","#a89060","replace-after-review","discourse-on-inequality--artwork-v1.png","discourse-on-inequality--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"jekyll-and-hyde","Strange Case of Dr Jekyll and Mr Hyde","Robert Louis Stevenson","1886","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1b1d24","#a83232","replace-after-review","jekyll-and-hyde--artwork-v1.png","jekyll-and-hyde--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"walden","Walden","Henry David Thoreau","1854","philosophy","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1b2a1f","#7a8c5a","replace-after-review","walden--artwork-v1.png","walden--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"vindication-rights-of-woman","A Vindication of the Rights of Woman","Mary Wollstonecraft","1792","political","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#3a2a4a","#c89a5c","replace-after-review","vindication-rights-of-woman--artwork-v1.png","vindication-rights-of-woman--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"comedy-of-errors","The Comedy of Errors","William Shakespeare","1594","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a2018","#d0b070","replace-after-review","comedy-of-errors--artwork-v1.png","comedy-of-errors--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"merchant-of-venice","The Merchant of Venice","William Shakespeare","1596","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a0a","#c89030","replace-after-review","merchant-of-venice--artwork-v1.png","merchant-of-venice--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"henry-v","Henry V","William Shakespeare","1599","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2230","#c0a060","replace-after-review","henry-v--artwork-v1.png","henry-v--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"as-you-like-it","As You Like It","William Shakespeare","1599","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a1a","#a0b070","replace-after-review","as-you-like-it--artwork-v1.png","as-you-like-it--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"winters-tale","The Winter's Tale","William Shakespeare","1611","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2230","#a8b8c8","replace-after-review","winters-tale--artwork-v1.png","winters-tale--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"julius-caesar","Julius Caesar","William Shakespeare","1599","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2030","#c0b070","replace-after-review","julius-caesar--artwork-v1.png","julius-caesar--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"twelfth-night","Twelfth Night","William Shakespeare","1601","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2a3a","#e0c060","replace-after-review","twelfth-night--artwork-v1.png","twelfth-night--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"measure-for-measure","Measure for Measure","William Shakespeare","1604","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f1a2a","#8a7090","replace-after-review","measure-for-measure--artwork-v1.png","measure-for-measure--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"henry-iv-part-2","Henry IV, Part 2","William Shakespeare","1598","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a28","#a89060","replace-after-review","henry-iv-part-2--artwork-v1.png","henry-iv-part-2--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"merry-wives-of-windsor","The Merry Wives of Windsor","William Shakespeare","1597","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f2820","#c0a850","replace-after-review","merry-wives-of-windsor--artwork-v1.png","merry-wives-of-windsor--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"othello","Othello","William Shakespeare","1603","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a0e0e","#8a3a1f","replace-after-review","othello--artwork-v1.png","othello--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"king-lear","King Lear","William Shakespeare","1606","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f1015","#a04050","replace-after-review","king-lear--artwork-v1.png","king-lear--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"much-ado-about-nothing","Much Ado About Nothing","William Shakespeare","1599","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1820","#d090a0","replace-after-review","much-ado-about-nothing--artwork-v1.png","much-ado-about-nothing--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"taming-of-the-shrew","The Taming of the Shrew","William Shakespeare","1592","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a1a","#d0a070","replace-after-review","taming-of-the-shrew--artwork-v1.png","taming-of-the-shrew--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"antony-and-cleopatra","Antony and Cleopatra","William Shakespeare","1606","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1228","#c89060","replace-after-review","antony-and-cleopatra--artwork-v1.png","antony-and-cleopatra--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"richard-iii","Richard III","William Shakespeare","1593","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1f0a0a","#a85030","replace-after-review","richard-iii--artwork-v1.png","richard-iii--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"coriolanus","Coriolanus","William Shakespeare","1608","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a1a","#8a4030","replace-after-review","coriolanus--artwork-v1.png","coriolanus--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"cymbeline","Cymbeline","William Shakespeare","1610","drama","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a2528","#a0c0b0","replace-after-review","cymbeline--artwork-v1.png","cymbeline--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"anna-karenina","Anna Karenina","Leo Tolstoy","1877","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#1a1a28","#b09870","replace-after-review","anna-karenina--artwork-v1.png","anna-karenina--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"don-quixote","Don Quixote","Miguel de Cervantes","1605","novel","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a1a10","#c08a40","replace-after-review","don-quixote--artwork-v1.png","don-quixote--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"essays-montaigne","Essays","Michel de Montaigne","1580","philosophy","early-modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#2a2218","#b0a070","replace-after-review","essays-montaigne--artwork-v1.png","essays-montaigne--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
"ivan-ilyich","The Death of Ivan Ilyich","Leo Tolstoy","1886","novel","modern","css-template-placeholder","BookStore.tsx::BookCover and BookOnboarding/BookOnboardingPreface CSS covers; registry coverColor/coverAccent","","CSS 2:3; 108x162 mobile, 126x189 default, 58x86 tiny, up to 276x414 large","#262a2e","#b0894e","replace-after-review","ivan-ilyich--artwork-v1.png","ivan-ilyich--cover-v1.webp","review-required","public-domain text does not imply artwork rights; use newly generated original artwork","OpenAI built-in image generation","tinct-cover-v1","not-generated"
