# Per-paragraph assessment and outcome for Symposium modern-en (accessibility pass). Coordinates chapter.index, index 0-based.
# similarity_* = word-token SequenceMatcher ratio against original-en, as in books/classify-modern-en.py. Categories: see ASSESSMENT.md.
coordinate	chapter_title	words_before	words_after	similarity_before	similarity_after	decision	categories	reason_or_note	sha256_before	sha256_after
5.2	Aristophanes's Speech	293	274	0.933	0.406	RENDER	ARC IMG SYN	"""bade"", ""bidden"", ""compose their forms"", ""the purses which draw in"", ""moulded""; long final sentence about the survivors' new mates untangled."	a0081ac32e7e75bd48ed38eeccef3956253c1b6d78c12bacc193db6cc82db719	9ab11635a67d6a92bada2a5738ed2a7ecd352506b050c07a0780bfeb12a0c4e2
5.3	Aristophanes's Speech	262	287	0.946	0.424	RENDER	EUPH IMG SYN ARC	"""parts of generation"" (genitals), ""hitherto"", ""the indenture of a man"" (half of a token broken in two), ""female companions"" (women who are attracted to women)."	d5ce98acc7da786fc869e7843131e75967eb8b3c26ab5dada010827aa4e7a95d	e7bb6c1d60a47122ec0527611a7f41b3f931291d700cba39719e89a296f28cd2
5.4	Aristophanes's Speech	268	250	0.919	0.513	RENDER	EUPH SYN FF	"""the desire of lover's intercourse"" (sex), ""want of shame"", ""an amazement of love"", ""a dark and doubtful presentiment""."	38c2e4342acd548cb39e76f4f515b1d6c312d6cc03f56514ab65f0d02d89c716	81cd48fa3cb59d624a80f3aa979fb630b949cfd5ec10fa0d8b83ed6f21c6d15e
5.5	Aristophanes's Speech	244	226	0.918	0.483	RENDER	FF IMG SYN	"""God"" rendered the god; ""Lacedaemonians"" Spartans; long Hephaestus sentence restructured."	c0aa299c60607932c8be9c8e515a10240925168d931ddffe25f98bb13c5bfd83	3d7195c99f3cdb8e1709610495d01d3594fbcefe9534a6f4e73ceaba9cafaaee
5.6	Aristophanes's Speech	247	244	0.971	0.437	RENDER	IMG ARC FF	"""basso-relievo"", ""tallies"", ""Wherefore"", ""lord and minister"", ""the God"", ""congenial love"". ""lord and minister"" rendered ""lord and provider"": ""minister"" now suggests an official or a clergyman (Recheck 1 #13)."	d095e531b490b06e71e7b1647cd3b736f7db9a2f57bf7a1f10ba149f767e44a8	4368c1db240b2154d3a35ea58c60f4975acabf89138327a0410eff67e28a698c
5.7	Aristophanes's Speech	115	113	0.943	0.581	RENDER	ARC SYN TYP	"""Wherefore"", ""leave unassailed by the shafts of your ridicule"", ""each, or rather either""; set-speech closing quote removed. Jowett's plea ""I must beg you"" restored (Recheck 1 #14)."	d5ace0843377b14d49cc89d0afbf2952a898132ec16bab7322c9faf023db355d	c20489147f9c215aae13492b200c3c8bb1ad82040bf2e6954d463b31f241be99
5.8	Aristophanes's Speech	63	52	0.921	0.591	TARGETED	ARC SYN	"""did I not know"", ""the world of things which have been said"", ""not without hopes""."	69ba7d300fc7c1bcb1f2c211eaf9227e3ea8ad30dba97841ea341f08ec12cf0c	987f65249dca61c5f52e67895d720b9ed7c133df60c10d92fe7d7e97cecb3c11
5.9	Aristophanes's Speech	34	35	0.882	0.609	TARGETED	ARC	"""in a great strait""."	8c8efc418122802860a3c820a3fc23128406dfc3b77f072265c0da6c7aeee445	4543a5ea49735bf3c3691e0bd5193d3af2e1c2f7520f9d50416ecad864f96ec2
5.10	Aristophanes's Speech	31	27	0.871	0.414	TARGETED	SYN	"""disconcerted at the expectation raised among the audience""."	ee16b97cf215fc986e14dbd127222c774e4f04172091034a96c6b18cad2b599b	e0ce904198d5e95f6ca9fa04f6c1a49e77a33e48d9eb5f7fa2bf4507f36ab6c2
5.11	Aristophanes's Speech	56	56	0.929	0.107	RENDER	SYN ARC	"Long inverted sentence; ""your nerves could be fluttered""."	93aad85dfaa3db09cc954258e1038eb943a53847c247b50b1b7895b5bfc5a350	e15844e71bb3356e415924f70ead3d7732eb7478d17ee3cd62eec97c004f50a7
5.12	Aristophanes's Speech	36	37	0.889	0.548	TARGETED	SYN	"""so full of the theatre as not to know how much more formidable..."""	bffaafd7c2cf6e945d9912b49909447e961db613b8785313770855759db6bb54	6fc384e408be02be4aca48dd40c42139245e56b20cac0c615e1be55ec357a3ff
5.13	Aristophanes's Speech	109	102	0.940	0.413	RENDER	ARC	"""Nay"", ""want of refinement"", ""the select wise""."	a70de116284f8a52d14b2e562f3eeb174122afeeafbffb145c161c1ae1ba2324	4b27bf071ff323a7a89b97fd1fe3bfd30e54a5048c6d810b8899d9d28fd58f89
5.14	Aristophanes's Speech	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd
5.15	Aristophanes's Speech	21	25	0.905	0.609	TARGETED	SYN	"""But before the many you would not be ashamed, if..."" Speaker tagged (consistency pass #12)."	c301750f2ff7d110607e09f58f891a55ca9e90e9ff8d263d8c68df84bfc18e2b	352589d378fb19a0f265efe06d89a4aa863e7ef2af25a56048a4d638c9d48534
5.16	Aristophanes's Speech	85	84	0.982	0.452	TARGETED	ARC	"""the encomium on Love which I ought to receive"", ""paid your tribute""."	49b0dbbb3a02926c481776670786d606a0e6f25c936605f015a4454c47421e02	88cc459f1bc1307e67280582a7619231a8332b8412dd11fc134a2dbc2f71d536
5.17	Aristophanes's Speech	40	36	0.875	0.368	TARGETED	SYN TYP	"Introduction to Agathon's speech; trailing "":—'"" tidied."	e1df054fa7b21a1e2e85dfe53816786244a579028a8cf5cab60c5e35275d0faf	b40d6a65f56aa9e370f30d37939044386a1ed7de13a2f37f406805d3610ee80b
6.0	Agathon's Speech	277	276	0.940	0.597	RENDER	ARC SYN IMG	"""fleeing out of the way of age, who is swift enough"" (Old Age personified, pronoun unclear); ""youthful ever"", ""if the tradition of them be true""; Ate glossed."	e27a4581cd31a8818509a40ce7cf7f37a405204f3147ad304b25303969acccb9	4ffe4d21957df35317a64d878a7f3391dbbdf347cd535561f24839fad6dd6c63
6.1	Agathon's Speech	19	19	0.895	0.895	RETAIN		Verse quotation; kept as is by rule (STYLE §2).	b0cb217ae9ec72a34b3f3be9ee96f26856dc2e5ef1df9d7915965d285d4fad84	b0cb217ae9ec72a34b3f3be9ee96f26856dc2e5ef1df9d7915965d285d4fad84
6.2	Agathon's Speech	276	260	0.978	0.496	RENDER	ARC FF	"""adduce"", ""flexile"", ""without flexure"", ""ungrace"", ""aught"", ""of a truth""."	eade20186a079a05d9017c4cfa454dd116e74cf0fd56b56287567454496e09a9	320ce47d234251d17da8973fae9ea3cb45feb703f014a52f1be00971f13073ac
6.3	Agathon's Speech	261	258	0.967	0.504	RENDER	FF SYN	"""temperance"" (self-control); ""he suffers not by force if he suffers""; ""the laws which are the lords of the city""; ""poesy"", ""magnify my art""."	13163fc2b42b42386ddb8e6fac21f59947612f43f49d46e4b609fa1c652e74d3	7fbb3536c4dabc946424dca3606053a209fa65856c11b3c21584908df4b7fe65
6.4	Agathon's Speech	298	271	0.957	0.375	RENDER	SYN IMG	"""he only of them whom love inspires has the light of fame""; ""set in order the empire of the gods"" (affairs of the gods, matched in 7.28); ""deformity""; the Euripides line marked as a quotation."	e6757f300a6deb3552fad6808409451ba0ec0769d8f29e73cb4896100e008dc9	d70b0ae379a8d9b47b6694a9a2dc1b5b54e366e1ba9b02012f79114e3eff45f1
6.5	Agathon's Speech	18	18	0.944	0.944	RETAIN		Verse quotation; kept as is by rule (STYLE §2).	8b6115b28cac3e7946b819bed6f449e5fa4bda158ec89c1b8adaf58bb048ef3e	8b6115b28cac3e7946b819bed6f449e5fa4bda158ec89c1b8adaf58bb048ef3e
6.6	Agathon's Speech	170	181	0.946	0.605	TARGETED	ARC FF	"The litany is kept with its antitheses; ""disaffection"" (now political discontent), ""regardful/regardless"", ""amazement"". Jowett's ""our lord"", ""parent"", ""men"" and ""half playful, yet"" restored; the regardful/regardless jingle kept as ""caring/careless"" (Recheck 1 #15-#16)."	cf7a58e86d21c80e62d3634bac31bd9d1b5648bcba49fdb10323c5a1d2f7eb0c	df366295866923d0ae718811e3283262d0ce584eaca837e8949b96a9291b621a
6.7	Agathon's Speech	74	65	0.946	0.518	TARGETED	ARC	"""in a strait"", ""oration"", ""was there not reason in my fears""."	e0554cba87d3b070f1c327a34d2b0988ffb7e0c4d726cb3fbed6fb4e19707a7b	1bc1e9f69ac33dbecc802a3caa2418b6a1ef8e262d9fd7f9afbd65359e50ef2e
6.8	Agathon's Speech	29	26	0.786	0.453	TARGETED	ARC	"""in a strait""."	e9e0f69a06e15658ebd7a8683052047578c6d88dc3001b1aa4be0c7915695b70	5a1699391f3c6173f84d5037508670ebbe1c70e8a77a403df163da498afa9985
6.9	Agathon's Speech	286	277	0.961	0.553	RENDER	IMG SYN TYP	"""the Gorginian or Gorgonian head"" pun (Gorgias / the Gorgon) made intelligible; long periodic sentences; speech continues into 6.10."	adb9b60114376c59f843d8541047df0816a842a47995f816d1470e9a5663dac7	274489752639d36db604145f5245b6c4f64d5bedf92f24cc409e96a2d6d4f12d
6.10	Agathon's Speech	205	194	0.946	0.612	RENDER	ARC TYP	"""impose upon"", ""have you rehearsed"", ""Farewell then to such a strain""; quotation reopened as the speech continues."	df7a2bce5d6fa812ffb7577dbfd438ac7cdf78236148478d816c3c075eaf3b39	666217fe268c24f242bbbd717b2866c4fdf17156294c15cc5bb40327308442f9
6.11	Agathon's Speech	47	46	0.915	0.495	TARGETED	REF	"""he added"" follows ""Aristodemus said"" and could be read as Aristodemus; Socrates named. ""premisses of my discourse""."	48d92d8c2ca86ed062bc70f55f7ceca163775c1b377ccc3904e440e21871900d	130a94d6a1c69277bf9f6598c0aeef1ea50b530c14c9834d549287d77478545b
6.12	Agathon's Speech	14	14	0.571	0.571	TARGETED	TYP	Victorian colon-dash replaced by a colon (house style; Review 2 #41).	803e9a98db8e6d77f6c61224d553ea2f0ca25efb9c4362ef23eba49ec6a4f641	75e47d808b7aae1cd5e0a27a063dbdd61f9c7bed94ed0a3003138651c7d56906
7.0	Socrates & Diotima	125	141	0.687	0.596	TARGETED	SYN DIST	"Final sentences were fragments (""But to answer as you would if I asked...""); repaired while keeping Jowett's ""love of a father or of a mother"" question unresolved. Jowett's frame ""I do not want you to say ..."" restored around the documented gloss (Recheck 2 #1); question after the colon lowercased (consistency pass #13)."	75207612da929d9997a21ba4ed292e52a5d91a1e8fb73a3b7faa9c8218e616e0	b62bfd69636ca3743c842f82999b494a31e368ca33e3d421b40a7b3ae2d15eaa
7.1	Socrates & Diotima	4	4	0.500	0.500	RETAIN		Short answer or one-line exchange; already clear.	86f0c353f4a85e8477148e6e9e1487dbbbc51f0c5c0c687d0289f5277b3f4a76	86f0c353f4a85e8477148e6e9e1487dbbbc51f0c5c0c687d0289f5277b3f4a76
7.2	Socrates & Diotima	9	9	0.778	0.778	RETAIN		Short answer or one-line exchange; already clear.	53bc5c4eba2e4e2204e1f27a93870487fa68dbf9e21e3df4829b33b11b03fd21	53bc5c4eba2e4e2204e1f27a93870487fa68dbf9e21e3df4829b33b11b03fd21
7.3	Socrates & Diotima	2	2	1.000	1.000	RETAIN		Short answer or one-line exchange; already clear.	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc
7.4	Socrates & Diotima	27	23	0.889	0.400	TARGETED	SYN	"""is not a brother to be regarded essentially as a brother of something?"""	96a0ec0df58b994ec4b56be67ce59d8461867563d1b896862d598962f5a40eee	e51a736b9d6e8dd432c02962fd0c71139025e9d689fedc4e64e9a6d20b099d8f
7.5	Socrates & Diotima	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3
7.6	Socrates & Diotima	7	7	0.714	0.714	RETAIN		Short answer or one-line exchange; already clear.	d7e96d1d9fe31f73a371f10f72cc54fc39d9d9ff66c591415468efa8ea841b73	d7e96d1d9fe31f73a371f10f72cc54fc39d9d9ff66c591415468efa8ea841b73
7.7	Socrates & Diotima	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	d5edc5b7ffc3c7303e21c16cb32044c7cf5dab128c518f258c68432880f9bae0	d5edc5b7ffc3c7303e21c16cb32044c7cf5dab128c518f258c68432880f9bae0
7.8	Socrates & Diotima	16	16	0.581	0.581	TARGETED	TYP	Capital after the colon lowercased, as for every other question introduced by a colon (consistency pass #13). Otherwise the accepted wording.	abb1d603c6d468b91fdaf5349c1f7062705e523e9911c99707ae96284db556f6	be08f8a87a92a8eb1c0da13c45172e3125c6b101b688467a5298f3074393598b
7.9	Socrates & Diotima	5	5	0.600	0.600	RETAIN		Short answer or one-line exchange; already clear.	1ddfd9f1a156964f32ff576687854733ae5677154b7eec5ce4eba70f8660c028	1ddfd9f1a156964f32ff576687854733ae5677154b7eec5ce4eba70f8660c028
7.10	Socrates & Diotima	23	20	0.818	0.439	TARGETED	SYN	"""whether Love desires that of which love is""."	4059cb38013313453593fb252c04f4fc2d720c3ce78ccebf29c8ef18cfe56252	077a1009d45b6d3741e5b790f1a7fd95d41bbeff1c2537b984c49c0ef92d2ef4
7.11	Socrates & Diotima	2	2	0.000	0.000	RETAIN		Short answer or one-line exchange; already clear.	d7e45a77928d5c7b7c3f9a315b4fa2ba77a7b203157d26d0e5baadc028700984	d7e45a77928d5c7b7c3f9a315b4fa2ba77a7b203157d26d0e5baadc028700984
7.12	Socrates & Diotima	15	15	0.867	0.867	RETAIN		Short answer or one-line exchange; already clear. Assessed as a possible light edit; on re-reading already clear, retained.	7e3d495490e86c55f74dfeb4a4cfa0e38c2f6c28d0ee4dbf41e58826f54b50d1	7e3d495490e86c55f74dfeb4a4cfa0e38c2f6c28d0ee4dbf41e58826f54b50d1
7.13	Socrates & Diotima	5	5	0.600	0.600	RETAIN		Short answer or one-line exchange; already clear.	31351bb70073cbaa23b6416f5ba1d600c1759d033da4ecb3575d85eeae52affc	31351bb70073cbaa23b6416f5ba1d600c1759d033da4ecb3575d85eeae52affc
7.14	Socrates & Diotima	51	39	0.922	0.267	TARGETED	ARC DIST	"""Nay""; ""in want of"" rendered lacks: the key premise that desire implies lack."	843a253dc125807bbfebd0294d0bc3f2c84dd2989e8ab73132958719bc371331	49f45639f7137e81f984596f695ad1073dae2f5d5e336002d3db7afbcfc0ca18
7.15	Socrates & Diotima	6	6	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	afa281d4eef6fbeff2ec022e84cbc520836cf8598b1ceeb345f0a734660c89fe	afa281d4eef6fbeff2ec022e84cbc520836cf8598b1ceeb345f0a734660c89fe
7.16	Socrates & Diotima	20	20	0.800	0.650	TARGETED	FF	"""he who is great"" (= big, not excellent)."	858f66d7b86ff5ea94874d7bd195da1862ef4d242d606de3516927286170aac5	08edb67cc7ba9a9534fdb81092ca66e4a68a0b22822f1722e3631f0ac48764f7
7.17	Socrates & Diotima	8	8	0.750	0.750	RETAIN		Short answer or one-line exchange; already clear.	2c898dfe39d14385b37b5c62109c7c046798fc1a67390b642e9eaaee39233a47	2c898dfe39d14385b37b5c62109c7c046798fc1a67390b642e9eaaee39233a47
7.18	Socrates & Diotima	14	10	0.857	0.167	TARGETED	FF DIST	"""cannot want to be that which he is"": ""want"" here means lack."	331179ad9518e25e088c53119fab23a3fe4fd9b121a1d9f07e1a9c40b8fbc503	a162f1160fa1f33fd37bbf00058014bb88274665a2b4da89f505387fe6d20b8c
7.19	Socrates & Diotima	2	2	0.000	0.000	RETAIN		Short answer or one-line exchange; already clear.	fab6484b72eec9720fbc576bd66d760516212bb88d461b299117b5b86490cc25	fab6484b72eec9720fbc576bd66d760516212bb88d461b299117b5b86490cc25
7.20	Socrates & Diotima	189	192	0.922	0.617	RENDER	ARC SYN TYP	"""whether they choose or no"", ""want to have the continuance of them""; nested quotations normalized. The imagined speaker's words marked at the third level (consistency pass #14)."	829d13ce11dcebd2dc64a41431fff72b8931a02ec027385585deaf76c378cd42	b9fa17ce1ce9ba7690583a64dc67ee16f62ca9799bbd53f70d28ec5350b6a630
7.21	Socrates & Diotima	4	4	0.500	0.500	RETAIN		Short answer or one-line exchange; already clear.	c7ef721d313f7d24934e88adbd21b5a0430bdac632c7adfca4174dadcf022791	c7ef721d313f7d24934e88adbd21b5a0430bdac632c7adfca4174dadcf022791
7.22	Socrates & Diotima	41	40	0.927	0.543	TARGETED	SYN	"""something which is non-existent to him""."	bf900a35ac5ff8d3c30baab68237163c7968e347f17de235de544dfa8f91665b	7c2ba2122095401af5957cffc56f063f62e40faa1bee038be6e410cb30ef8593
7.23	Socrates & Diotima	4	4	0.500	0.500	RETAIN		Short answer or one-line exchange; already clear.	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac
7.24	Socrates & Diotima	48	49	0.915	0.442	TARGETED	FF DIST	"""of which he is in want"" (lacks)."	5d90cffb3b32859c33e9a8b48a0af911871d3948fe3f367685d210cb3c6023b0	f62769b300ec78743877187ee6e24fed0b47444a65c99aa2b3c04fb69b4d2f61
7.25	Socrates & Diotima	4	4	0.500	0.500	RETAIN		Short answer or one-line exchange; already clear.	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac	9b4a1059b5ed56ba1e0e3b77efe350473ca707db29af43fc4a35febe7c5695ac
7.26	Socrates & Diotima	25	24	0.840	0.531	TARGETED	FF DIST	"""something too which is wanting to a man"" (lacks)."	2b7c224e4803d88b6e72afb90c86a62631852d07a573d2d57603bf4044211428	eccca3a3e75182b945a0d2cf8fb88116e14b051b494a069fe7f8441ab126aecd
7.27	Socrates & Diotima	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	0844535f431db6243d5a85596d2879f05e5eec409675032048cadef37e572565	0844535f431db6243d5a85596d2879f05e5eec409675032048cadef37e572565
7.28	Socrates & Diotima	52	47	0.922	0.557	TARGETED	FF	"""set in order the empire of the gods"" aligned with 6.4; ""deformed things""."	f593e3503570fc83ae001707672b48483e4dd0e923a2e9860279f2fb4ff37ddc	74a14fd327b7c09e3d2f6ca4ae6022d4df1db3812224775f337bc6ca930e3ab2
7.29	Socrates & Diotima	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd	7de9881624ef6d17ab8dec788f4f9f63bc9055a96505c9ade1bc8c06b95796cd
7.30	Socrates & Diotima	25	26	0.920	0.549	TARGETED	ARC FF	"""the remark was a just one"", ""deformity"". Speaker tagged (consistency pass #12)."	1b2c0659cc44b2331532e154346e1a271ce40ebbaddd75566c19352d5d8d26a7	6cbf340071e52e20cafcf9bd5684e7af6496c61923e675f36c85f700eb3f0dbf
7.31	Socrates & Diotima	2	2	1.000	1.000	RETAIN		Short answer or one-line exchange; already clear.	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc	6b5a1129691460287643e395ef49965747b5dc078289a37e1cf96392f53a99bc
7.32	Socrates & Diotima	19	18	0.895	0.486	TARGETED	FF DIST	"""which a man wants and has not"" (lacks)."	cd9305ae44a93b1513519358439392ad68872c2f600178cc66dd4be8212103a9	1be499be087a86775585f85774b45c4427192ca1848836ad63ab429760ff2968
7.33	Socrates & Diotima	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	83784b5b9fa986b8f9e58a1ec07d2c5be9f0f0f872c8595ee4e3314080444783	83784b5b9fa986b8f9e58a1ec07d2c5be9f0f0f872c8595ee4e3314080444783
7.34	Socrates & Diotima	7	9	0.714	0.375	TARGETED	FF DIST	"""Love wants and has not beauty"" (lacks)."	aa2f4d50658b9325f72934295e1cbb0854b035a2e9c8195fe93a719285d5e9fb	cad19413fc753801b143fa514dc6df39e8037c66a972f73712a2e1ec33542b13
7.35	Socrates & Diotima	3	3	0.667	0.667	RETAIN		Short answer or one-line exchange; already clear.	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3	0c2089b68d804cef3ec8611f0660b82054447f15f513ec8145d16d54cbaeabb3
7.36	Socrates & Diotima	13	14	0.846	0.519	TARGETED	FF DIST	"""which wants and does not possess beauty"" (lacks)."	c9491c2c7503eb32812b5c122fb5e7cd6cb13dbeac53f5decfe56c771b7e14b0	159953d6bee518505f1963e5d9acbd2270ce2f37700a7ba8adf67063879630a2
7.37	Socrates & Diotima	2	2	0.000	0.000	RETAIN		Short answer or one-line exchange; already clear.	e575a371ec6e684aa0cef22ef9a99f2c015e4b052fd102122666a7f9b67e9726	e575a371ec6e684aa0cef22ef9a99f2c015e4b052fd102122666a7f9b67e9726
7.38	Socrates & Diotima	9	9	0.778	0.778	RETAIN		Short answer or one-line exchange; already clear.	8e5b509516a667efad7ead7d8591360a8996161908c7e015607aa09e761c1a62	8e5b509516a667efad7ead7d8591360a8996161908c7e015607aa09e761c1a62
7.39	Socrates & Diotima	13	13	0.846	0.846	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity). Already modern.	d0eea84e62c61b3aa71787c9aba719f6adc52cd1f3ddce307e215fee7c3493e6	d0eea84e62c61b3aa71787c9aba719f6adc52cd1f3ddce307e215fee7c3493e6
7.40	Socrates & Diotima	28	27	0.764	0.556	TARGETED	ARC	"""which I would fain ask""."	41599e9fd8fc76f312629860028caf7487b57a3aa2f9d8829e895233a9c31e37	04db7522d5f05506fe1c6da10959eb3cc05be3a16260d54013ee2dc17be29ced
7.41	Socrates & Diotima	1	1	0.000	0.000	RETAIN		Short answer or one-line exchange; already clear.	96aa879329f2ab0f25db40719bb8c5117b404da53bea12fa420fafa00b559538	96aa879329f2ab0f25db40719bb8c5117b404da53bea12fa420fafa00b559538
7.42	Socrates & Diotima	10	14	0.800	0.167	TARGETED	FF DIST	"""in wanting the beautiful, love wants also the good"" (lacks). ""love lacks"" repeated, as Jowett repeats ""love wants"" (consistency pass #15)."	51deb56142da7b3f2b9dd322ed95e7327b7d424c9d93921b94ba9320b4f3d456	8d6447a7f9c1c253a43aca173dc6cfbe58c5d57c07f88ba19f361b74d2e6e8c9
7.43	Socrates & Diotima	16	16	0.710	0.710	RETAIN		Already clear, faithful modern English; retained (not paraphrased to lower similarity).	6be92418a23db460ab4a8751a336045d289e0ba9587f792f8cef6d78c9419de0	6be92418a23db460ab4a8751a336045d289e0ba9587f792f8cef6d78c9419de0
7.44	Socrates & Diotima	15	18	0.867	0.545	TARGETED	FF	"""beloved Agathon"": the book's technical term used as a mere endearment; rendered ""my dear Agathon"". ""Say rather""."	ca9147fcd67137bbe1fcc33573961fe6928d1e335d3933c08d9e8142930a7665	92af8844ca07dc8857e969a1cf39e4d5aca88c74fc5165bddf1967977f2832ae
7.45	Socrates & Diotima	244	241	0.882	0.483	RENDER	ARC SYN TYP	"""taking my leave of you"", ""rehearse a tale"", ""a mean between""; Socrates's narration unquoted, Diotima in single quotes (STYLE §3). The set speech opens with the tag ""Socrates went on:"" (STYLE §3.1; Review 2 #43, consistency pass #2); Jowett's ""Mantineia"" kept (STYLE §4; consistency pass #6). Jowett's ""nearly if not quite the same"" and ""this will be the easiest way"" restored (Recheck 3 #4)."	cad2fc7bc509bd4dfc5bb9d7099c07ae1fff4149021899886ef56a5991308d55	21374091b385e2a2d37678e8b9e5fadc1c022cd5af66b2f73abfcdf0f88c2506
7.46	Socrates & Diotima	284	275	0.785	0.469	RENDER	ARC FF TYP	"""Right opinion"" (correct opinion), ""a mean"", ""in want"", ""It is quite intelligible""; quotation levels."	ee2a17bc7266c156364bb3c753401859399cbdf84c471eae125cf08b80a8138d	1d2dc0ef8b73485941f120e2e49c628f116ada2070ba9e4c92c73a63a58cd1bc
7.47	Socrates & Diotima	273	271	0.883	0.463	RENDER	FF IMG TYP	"""God mingles not with man"" (gods); ""mean and vulgar""; ""(daimon)"" integrated; ""Metis or Discretion"" (Prudence); ""came about the doors to beg"". Tags ""she said"" and ""I asked"" (STYLE §3.5; consistency pass #4)."	1b7090532645552485680a631188d6189cf21dadbc2cf22f3b6544efaa18031e	2832afaa45ca1264630d8ba89391eae496cbe230410ebd9131858a82ac5eb63e
7.48	Socrates & Diotima	247	241	0.974	0.431	RENDER	FF ARC	"""plotting against the fair and good"" (now reads as hostile; means scheming to win them); ""worse for nectar"", ""straitened circumstances"", ""terrible as an enchanter""."	64b63f0ff808108b58ba4c976d321d5f19f30831e0766473a486e3ad91d28fb5	6521b686ea52a4c32d17304dcf094a336ed52332da4fdd61d1a224945221fc64
7.49	Socrates & Diotima	289	264	0.951	0.534	RENDER	FF DIST	"""never in want and never in wealth""; ""the principle of love"" rendered ""what loves"", keeping the love/beloved distinction explicit. One colon instead of two (Recheck 2 #3, consistency pass #17). Diotima's hedge ""I imagine"" restored (Recheck 3 #5)."	9939e54866cef757157404c4cee11db8ccd91a6c610a98b804186d64a0e05232	3f62b3b94f9cc0a3112b5dfd7d9434e13366d0da529169d2518a8bece56676fc
7.50	Socrates & Diotima	224	211	0.789	0.540	RENDER	ARC SYN TYP	"""O thou stranger woman, thou sayest well"", ""Of the beautiful in what""; nested quotations normalized. A dash restores the parse of Jowett's elliptical question (Recheck 2 #5)."	9bcee48e4fabb1f6a4abd60e920a2ab76de08a8431c7e8f2da09e18e4f1d0a4f	5569d6fcd127e772078e934a9f7f1e24c7a1d4d136cb3f52580969b240d1e55a
7.51	Socrates & Diotima	221	228	0.834	0.446	RENDER	SYN IMG	"Poetry-as-making: Jowett's own gloss kept; ""what say you"", ""she rejoined"". Diotima's question tagged ""she asked"" (consistency pass #3); a v1 ""Only"" removed (Recheck 2 #6)."	381f3aaf1997d964d4084fb063adc5912286c7d5548a61c8a16d1a49c17d31e6	1ca34d594d64aedc3abc64e41b78754705e4f9a14f2cda79d6e3d115a3ace90f
7.52	Socrates & Diotima	263	247	0.872	0.556	RENDER	SYN ARC	"""the name of the whole is appropriated to those whose affection takes one form only"", ""unless perchance"". Diotima's question tagged ""she asked"" (consistency pass #5)."	589553d99bcdaa799eaf4ac3a9a4ea498ba7e4bee4693d55a44bd0982434fec3	e46d2c790376b998143b25c86c0beec8aa6afa4702149ba04843a4e8d08d7e1b
7.53	Socrates & Diotima	212	211	0.884	0.438	RENDER	ARC FF	"""Nay"", ""bringing to the birth"", ""the oracle requires an explanation"", ""deformity"", ""the inharmonious""."	7ed88953e87917a4f3cd0b17214f923579052a2379c602ea9d42b75c85438ed9	2fcaef4068e179078ae5ef3d520ffd45113f51527f44c3b1c24f17515dbba125
7.54	Socrates & Diotima	179	181	0.911	0.572	RENDER	ARC FF	"""destiny or goddess of parturition"", ""propitious, and diffusive, and benign"", ""teeming nature"", ""travail""; ""generation"" rendered procreation; ""Wherefore"". Socrates's question ""What, then?"" tagged ""I asked"", as at 7.47 (Recheck 3 #6)."	03f18e43579d3d1c4815c454d401e4d16e5900d6f22fcbde742902caaf32b840	fe31eb0b82727662caa8d0096a9c666c1522eaf5a2cbcc65916f64202075eb5b
7.55	Socrates & Diotima	272	266	0.943	0.544	RENDER	ARC	"""See you not"", ""take the infection of love"", ""whereto is added"", ""I want a teacher"" (need), ""Marvel not"", ""generation""."	374af300a0776157f6ae6c0ad6e8ceccd3b1d73b9a8c224625a82386e0d22d8d	b8cd62327fc0a35d7c0560e00f55beee872f47d992490aa9127b53c9978b0f46
