group,bookId,edition,title,provenance,chapters,timed,missing,alignableNow,needsRecordingRepair,verifiedPass,verifiedFail,audioHours,state,blocker
ai-created,democracy-in-america,modern-en,Democracy in America,CLI-generated Modern English edition,96,74,22,0,0,0,0,30.41,processing,22 chapter(s) lack timings; readiness not yet assessed
ai-created,faust-part-1,modern-en,"Faust, Part One",CLI-generated Modern English edition,28,6,22,0,0,0,0,3.26,processing,22 chapter(s) lack timings; readiness not yet assessed
ai-created,king-lear,modern-en,King Lear,CLI-generated Modern English edition,26,3,23,0,0,0,0,2.89,processing,23 chapter(s) lack timings; readiness not yet assessed
ai-created,cymbeline,modern-en,Cymbeline,CLI-generated Modern English edition,29,5,24,0,0,0,0,2.95,processing,24 chapter(s) lack timings; readiness not yet assessed
ai-created,leviathan,modern-en,Leviathan,CLI-generated Modern English edition,49,25,24,0,0,0,0,19.76,processing,24 chapter(s) lack timings; readiness not yet assessed
ai-created,the-awakening,modern-en,The Awakening,CLI-generated Modern English edition,39,15,24,0,0,0,0,4.54,processing,24 chapter(s) lack timings; readiness not yet assessed
ai-created,coriolanus,modern-en,Coriolanus,CLI-generated Modern English edition,29,4,25,0,0,0,0,3.1,processing,25 chapter(s) lack timings; readiness not yet assessed
ai-created,macbeth,modern-en,Macbeth,CLI-generated Modern English edition,28,3,25,0,0,0,0,1.81,processing,25 chapter(s) lack timings; readiness not yet assessed
ai-created,pride-and-prejudice,modern-en,Pride and Prejudice,CLI-generated Modern English edition,61,33,28,0,0,0,0,10.84,processing,28 chapter(s) lack timings; readiness not yet assessed
ai-created,around-the-world-80-days,modern-en,Around the World in Eighty Days,CLI-generated Modern English edition,37,5,32,0,0,0,0,6.09,processing,32 chapter(s) lack timings; readiness not yet assessed
ai-created,measure-for-measure,modern-en,Measure for Measure,CLI-generated Modern English edition,32,0,32,0,0,0,0,3.39,processing,32 chapter(s) lack timings; readiness not yet assessed
ai-created,wealth-of-nations,modern-en,The Wealth of Nations,CLI-generated Modern English edition,32,0,32,0,0,0,0,34.24,processing,32 chapter(s) lack timings; readiness not yet assessed
ai-created,jane-eyre,modern-en,Jane Eyre,CLI-generated Modern English edition,38,5,33,0,0,0,0,16.23,processing,33 chapter(s) lack timings; readiness not yet assessed
ai-created,antony-and-cleopatra,modern-en,Antony and Cleopatra,CLI-generated Modern English edition,42,7,35,0,0,0,0,2.92,processing,35 chapter(s) lack timings; readiness not yet assessed
ai-created,crime-and-punishment,modern-en,Crime and Punishment,CLI-generated Modern English edition,41,5,36,0,0,0,0,18.04,processing,36 chapter(s) lack timings; readiness not yet assessed
ai-created,merry-wives-of-windsor,modern-en,The Merry Wives of Windsor,CLI-generated Modern English edition,41,0,41,0,0,0,0,4.56,processing,41 chapter(s) lack timings; readiness not yet assessed
ai-created,great-expectations,modern-en,Great Expectations,CLI-generated Modern English edition,59,17,42,0,0,0,0,16.16,processing,42 chapter(s) lack timings; readiness not yet assessed
ai-created,divine-comedy,modern-en,The Divine Comedy,CLI-generated Modern English edition,100,54,46,0,0,0,0,10.65,processing,46 chapter(s) lack timings; readiness not yet assessed
ai-created,moby-dick,modern-en,Moby Dick,CLI-generated Modern English edition,136,87,49,0,0,0,0,17.77,processing,49 chapter(s) lack timings; readiness not yet assessed
ai-created,imitation-of-christ,modern-en,The Imitation of Christ,CLI-generated Modern English edition,114,46,68,0,0,0,0,5.32,processing,68 chapter(s) lack timings; readiness not yet assessed
ai-created,brothers-karamazov,modern-en,The Brothers Karamazov,CLI-generated Modern English edition,96,27,69,0,0,0,0,32.09,processing,69 chapter(s) lack timings; readiness not yet assessed
ai-created,bible,modern-en,The Bible,CLI-generated Modern English edition,1189,1118,71,0,0,0,0,62.98,processing,71 chapter(s) lack timings; readiness not yet assessed
ai-created,essays-montaigne,modern-en,Essays,CLI-generated Modern English edition,107,0,107,0,0,0,0,53.91,processing,107 chapter(s) lack timings; readiness not yet assessed
ai-created,don-quixote,modern-en,Don Quixote,CLI-generated Modern English edition,126,1,125,0,0,0,0,36.06,processing,125 chapter(s) lack timings; readiness not yet assessed
ai-created,anna-karenina,modern-en,Anna Karenina,CLI-generated Modern English edition,239,85,154,0,0,0,0,32.61,processing,154 chapter(s) lack timings; readiness not yet assessed
ai-created,war-and-peace,modern-en,War and Peace,CLI-generated Modern English edition,365,167,198,0,0,0,0,54.33,processing,198 chapter(s) lack timings; readiness not yet assessed
ai-created,the-histories,modern-en,The Histories,CLI-generated Modern English edition,1200,752,448,0,0,0,0,17.69,processing,448 chapter(s) lack timings; readiness not yet assessed
